gate_id,gate_name,mode,gate_status,can_PASS_now,forecast_failure_rate,dominant_failure_inputs,measured_in_this_system,notes
A1,MC Protected (SC switch open),GROWTH,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
A2,4K Stage Handles LCVD Scatter,GROWTH,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
A3,Cold Optics Shielded by 4K Shutter,GROWTH,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
A4,He-3 Film Absent During Mode B Processing,GROWTH,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
A5,Sensing Disabled During Mode B Processing,GROWTH,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
A6,"Precursor beam-delivered, not chamber-fill",GROWTH,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
A7,Precursor cryocondensation below limit,GROWTH,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
A8,Local surface T during deposition pulse measured,GROWTH,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
A9,Deposition yield per pulse measured,GROWTH,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
A10,Growth-zone contamination does not reach sensing zone,GROWTH,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
A11,Byproducts pump below RGA threshold before Mode D,GROWTH,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
A12,Mode B (growth) heat removed by non-MC dump path,GROWTH,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
A13,Repeated A/B/C cycling passes fatigue inspection,GROWTH,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
A14,He-3/He-4 film absent before Mode B Processing,GROWTH,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
B1,CH4 Pumpout Sufficient,PURGE_RESET,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
B2,77K Cryotrap [DESIGN_SPECIFIED; NOT INSTALLED],PURGE_RESET,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
B3,RGA All-Species Verification (FC-corrected),PURGE_RESET,UNKNOWN,NO,100% (hardware/measurement not present),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
B4,H2 Residual Coverage,PURGE_RESET,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
B5,CH4 Coverage on Sensing Surface,PURGE_RESET,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
C1,Sample Recools to Sensing T,RECOOL,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
C2,Vibration Settled,RECOOL,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
C3,Temperature Drift OK,RECOOL,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
C4,Radiation Shutter (DESIGN_SPECIFIED; not installed),RECOOL,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
D1,LCVD Off / Mode D Status,SENSE,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
D2,Precursor Threshold (sv.P_CH4; FC-corrected),SENSE,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
D3,Cooling Capacity (sv.P_total; G_eff ASSUMED; sinter unbuilt),SENSE,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
D4,T_sample (sv.T_sample; G_eff ASSUMED),SENSE,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
D5,G_eff / Sinter (marginal at worst-case),SENSE,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
D6,Laser Avg Heating (sv.P_opt; eta_abs ASSUMED),SENSE,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
