risk_id,risk,affected_subsystem,failure_mode,likelihood,severity,current_status,mitigation,required_measurement,gate_impact,can_PASS_now,unresolved,notes
R001,tau_c unknown,NV detection,tau_c < 292 µs → SNR < 5 → detection fails,UNKNOWN_QUALITATIVE,CRITICAL,UNKNOWN,Ramsey experiment on this exact surface,He-3 Ramsey on F-diamond at 10 mK,"D13,D18",NO,YES,tau_c on F-diamond UNKNOWN. Graphite analogy [INDIRECT] only. Co-equal bottleneck with C_contr.
R002,C_contr_10mK unknown,NV detection,C_contr=0 at 10 mK → no signal regardless of tau_c,UNKNOWN_QUALITATIVE,CRITICAL,UNKNOWN,ODMR at 10 mK,ODMR at 10 mK post-cycle on this sample,"D12,D13",NO,YES,Room-temperature contrast does not predict 10 mK. Charge-state instability under cryogenic laser possible.
R003,G_eff unverified,Thermal,T_sample exceeds budget → all Mode D gates fail,HIGH,HIGH,ASSUMED,Fabricate Ag sinter; step-response thermometry,Step-response thermometry,"D3,D4,D5",NO,YES,G_eff=1e-5 W/K [ASSUMED]. alpha_K±50%; A_sinter not fabricated.
R004,Ag sinter fabrication uncertainty,Thermal,Actual area or contact resistance differs from design,MEDIUM,HIGH,DESIGN_SPECIFIED,Fabricate per design; verify area and contact,Step-response; area measurement,"D5,E05",NO,YES,
R005,Residual H2 contamination,Vacuum,theta_H2 > 0.1% → sensing disrupted,HIGH,HIGH,BLOCKED (bakeout not executed),Execute bakeout + NEG + cryotrap,Bakeout execution + RGA,"D10a,D10b",NO,YES,Pre-bakeout theta_H2=0.32% (above limit). D10a BLOCKED.
R006,Bakeout not executed,Vacuum,D10a permanently BLOCKED,CERTAIN,CRITICAL,BLOCKED,Execute 250°C/48h bakeout,Bakeout execution + temperature log,"D10a,E01",NO,YES,
R007,Cryotrap not installed,Vacuum,H2/CO uncontrolled,HIGH,HIGH,DESIGN_SPECIFIED,Install 77K charcoal cryotrap,Install + verify pumping speed,"B2,E03",NO,YES,
R008,NEG pump not installed,Vacuum,H2 suppression inadequate post-bakeout,HIGH,HIGH,DESIGN_SPECIFIED,Install SAES NEG; activate; RGA verify,Install + RGA,"D10a,E02",NO,YES,
R009,RGA verification missing,Vacuum,FC-corrected species pressure unknown,HIGH,HIGH,NOT_INSTALLED,Install RGA; perform all-species scan,RGA all-species (FC-corrected),"B3,D2,E04",NO,YES,
R010,QCM noise floor instability,Diagnostics,Coverage inference unreliable,HIGH,MEDIUM,DESIGN_SPECIFIED,Install QCM; test noise floor under cryogenic conditions,Cryogenic QCM noise test,"B5,D11",NO,YES,He-3 signal ≈0.09 Hz requires sub-0.1 Hz stability [UNVERIFIED]
R011,QCM placement not correlated to sample,Diagnostics,"QCM reads background, not sample coverage",MEDIUM,MEDIUM,DESIGN_SPECIFIED,Define geometry; verify field of view,Geometry model + calibration,D11,NO,YES,
R012,PMB flux not calibrated,Helium dosing,Dose unknown → coverage unknown,HIGH,MEDIUM,DESIGN_SPECIFIED,Install PMB; calibrate flux vs pressure,Flux calibration,"D11,E08",NO,YES,
R013,Cryo-baffle shutter timing unverified,Helium dosing,Dose per pulse undefined,MEDIUM,MEDIUM,DESIGN_SPECIFIED,Install baffle; test timing,Shutter timing test,"D11,E08",NO,YES,
R014,Cryo-baffle thermal load unmeasured,Thermal,Heat load from baffle radiation exceeds budget,MEDIUM,MEDIUM,DESIGN_SPECIFIED,Measure baffle temperature; calculate load,Thermal measurement,D3,NO,YES,
R015,Independent gas line leak or cross-contamination,Vacuum,CH4 contaminates He-3 sensing line,MEDIUM,HIGH,DESIGN_SPECIFIED,Install; leak-test; RGA verify isolation,Leak test + RGA,"D11,D2",NO,YES,
