item_id,item_name,subsystem,role,mode,status,current_or_forecast,vendor_or_source,part_number_or_spec,quantity,warm_side_anchor,cold_side_anchor,intermediate_thermal_intercepts,mechanical_attachment,thermal_path,vibration_path,contamination_path,required_validation,gate_dependency,failure_consequence,can_support_PASS_now,notes
B001,Dilution refrigerator (Oxford Triton 200),Cryogenic platform,Base cooling to 10 mK,ALL,DESIGN_SPECIFIED,forecast,Oxford Instruments,Triton 200,1,Building floor (vibration-isolated slab),Mixing chamber flange,"50K,4K,1K,100mK stages",Bolted to building slab,Mixing chamber to slab via frame,Pulse-tube + cryocooler vibration to frame,Closed refrigeration loop,Step-response under QTA thermal load; vibration PSD at MC,"D3,D4",T_sample exceeds budget if load too high,NO,"T_fridge=10mK [MANUFACTURER_SPEC TARGET]; cryostat not physically installed; entry is a vendor-spec target for a future installation, not a current hardware state."
B002,Mixing chamber sample stage,Cryogenic platform,Mount diamond sample at MC node,D,DESIGN_SPECIFIED,forecast,TBD (custom machined),TBD,1,MC flange (10 mK),Ag sinter interface (10 mK),None within stage (isothermal),Bolted to MC flange via anchor interface,Conduction through Ag sinter to MC,Stage to MC via bolted connection,Open to chamber vacuum,Fabricate; thermal-contact test; alignment verification,"D4,D5",Sample node thermally decoupled; T_sample unmeasured,NO,Geometry and thermal contact to Ag sinter not designed in detail
B003,Mixing-chamber anchor interface,Cryogenic platform,Hard thermal anchor for sample bus to MC,D,DESIGN_SPECIFIED,forecast,TBD (custom OFHC Cu),TBD,1,MC flange,Sample-stage mounting plate,None (direct MC connection),Bolted/clamped to MC flange,OFHC Cu direct conduction to MC,Through bolted joint,None,Fabricate; contact-resistance measurement; gold-plate mating faces,D5,Interface resistance degrades G_eff,NO,OFHC Cu; gold-plated contact faces [DESIGN_SPECIFIED]
B004,Sample-stage mounting plate,Cryogenic platform,Rigid reference plane for diamond mount and suspension,D,DESIGN_SPECIFIED,forecast,TBD (OFHC Cu or Al),TBD,1,Anchor interface (10 mK),Diamond sample mount,None (isothermal plate),Bolted to anchor interface,Conduction through anchor interface,Stiff plate; vibration transfer from frame,Open to chamber vacuum,Fabricate; alignment check after cooldown,"D4,D5",Sample alignment drift; thermal contact loss,NO,[DESIGN_SPECIFIED]; alignment drift under differential thermal contraction unknown
B005,Kevlar 49 tension suspension (4 fibers),Support architecture,Mechanical support with thermal isolation,ALL,DESIGN_SPECIFIED,forecast,TBD (Kevlar 49 fiber supplier),ASTM D7269 or equivalent,4 fibers + terminations,4K thermal intercept clamp,10mK sample-stage plate,"4K,1K,100mK,10mK intercept clamps",Epoxy or mechanical crimp terminations,Fiber conduction (κ≈5e-4 W/m/K at 10mK [INDIRECT]),Fiber vibration transmission,Open to chamber; no gas contamination,Fabricate; thermal conductance via step-response; tension test; cooldown cycle,"D3,E06",Heat load exceeds budget; mechanical failure,NO,COMMITTED support. P_support≈0.167 nW [ASSUMED].
B006,Kevlar end clamps / termination hardware,Support architecture,Secure fiber ends; transmit tension load,ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,8 (2 per fiber),4K plate or anchor block,10mK mounting plate,Through fiber,Crimped or epoxied to fiber; bolted to plates,Conduction through clamp body to intercept,Clamp stiffness couples vibration,None,Slip test at cryogenic T; torque retention after 10 thermal cycles,"D3,E06",Fiber slips → support load drops; sample falls,NO,Kevlar clamp slip after cooldown [UNKNOWN]. Differential thermal contraction risk.
B007,Kevlar anchor blocks (gold-plated OFHC Cu),Support architecture,Low-resistance thermal interface at each intercept,ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,4 (one per intercept stage),Warm intercept plate,Cold intercept plate,"Staged (4K,1K,100mK,10mK)",Bolted to intercept clamp; gold-plated contact,OFHC Cu conduction between stages,Rigid; transmits vibration from fiber,None,Conductance measurement via step-response after fabrication,"D3,E06",Excess contact resistance → intercept fails,NO,Gold-plated to minimize contact resistance [DESIGN_SPECIFIED]
B008,G-10CR fiberglass flexures,Support architecture,Lateral compliance; vibration decoupling,ALL,DESIGN_SPECIFIED,forecast,TBD,G-10CR per NEMA LI-1 or equivalent,TBD,Warm lateral anchor,Cold lateral attachment,G-10CR fiberglass (κ~0.1 W/m/K room T; lower at mK),Bonded/bolted to frame + sample stage,Fiberglass conduction (INDIRECT estimate),Flexure mode transmits lateral vibration,None,Fabricate; stiffness measurement; thermal conductance; cooldown cycle,"D3,E06",Lateral shift; excess heat load,NO,G-10CR cryogenic properties [INDIRECT; not measured for this geometry]
B009,G-10CR flexure mounts,Support architecture,Attach flexures to frame and sample stage,ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,TBD,Frame (warm side),Sample stage (cold side),Through G-10CR body,Bolted or adhesive bonded,Through mount body,Through mount,None,Attachment stability check after 10 cooldown cycles,"D3,E06",Mount loosening,NO,[DESIGN_SPECIFIED]; G-10CR attachment stability after differential thermal contraction UNKNOWN
B010,OFHC Cu thermal intercept clamps (4 stages),Support architecture,Staged thermal interception at 4K/1K/100mK/10mK,ALL,DESIGN_SPECIFIED,forecast,TBD (custom OFHC Cu),TBD,4 sets,Stage plate (warm side of intercept),Stage plate (cold side of intercept),Previous intercept stage,Clamped around Kevlar fiber; bolted to stage plate,OFHC Cu conduction from fiber to stage,Clamp stiffness,None,Contact-resistance measurement per stage; step-response,"D3,E06",Interception fails; excess heat load bypasses stages,NO,OFHC Cu; contact resistance unknown until measured [DESIGN_SPECIFIED]
