bib_key,cited_in_manuscript,citation_count,supports_claim,claim_supported,action,notes
Pobell2007,YES,2,YES,"F. Pobell, \textit{Matter and Methods at Low Temperatures}, 3rd ed.\ Springer (2007).",KEEP,Cited in manuscript; retained.
Lounasmaa1974,NO,0,NO,"O.V. Lounasmaa, \textit{Experimental Principles and Methods Below 1 K}, Academic Press (1974).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
Betts1989,NO,0,NO,"D.S. Betts, \textit{Introduction to Millikelvin Technology}, Cambridge University Press (1989).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
Richardson1988,NO,0,NO,"R.C. Richardson and E.N. Smith (eds.), \textit{Experimental Techniques in Condensed Matter Physics a",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
SwartzPohl1989,YES,1,YES,"E.T. Swartz and R.O. Pohl, Rev.\ Mod.\ Phys.\ \textbf{61}, 605 (1989).",KEEP,Cited in manuscript; retained.
Pollack1969,NO,0,NO,"G.L. Pollack, Rev.\ Mod.\ Phys.\ \textbf{41}, 48 (1969).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
Frossati1978,NO,0,NO,"G. Frossati, J.\ Phys.\ (Paris) Colloq.\ C6, 1578 (1978). % Diamond thermal",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
Anthony1990,NO,0,NO,"T.R. Anthony \emph{et~al.}, Phys.\ Rev.\ B \textbf{42}, 1104 (1990). % Kevlar / G-10 cryogenic",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
Barucci2005,YES,1,YES,"M. Barucci \emph{et~al.}, Cryogenics \textbf{45}, 295 (2005).",KEEP,Cited in manuscript; retained.
Woodcraft2005,NO,0,NO,"A.L. Woodcraft, Cryogenics \textbf{45}, 626 (2005). % Wiring / Thermocoax",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
RunyanJones2008,NO,0,NO,"M.C. Runyan and W.C. Jones, Cryogenics \textbf{48}, 448 (2008).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
Rule1996,NO,0,NO,"B.C. Rule \emph{et~al.}, Cryogenics \textbf{36}, 283 (1996).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
Risegari2004,NO,0,NO,"L. Risegari \emph{et~al.}, Cryogenics \textbf{44}, 875 (2004). % NV magnetometry reviews",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
DegenRMP2017,YES,3,YES,"C.L. Degen, F. Reinhard, and P. Cappellaro, Rev.\ Mod.\ Phys.\ \textbf{89}, 035002 (2017).",KEEP,Cited in manuscript; retained.
DohertyPhysRep2013,NO,0,NO,"M.W. Doherty \emph{et~al.}, Phys.\ Rep.\ \textbf{528}, 1 (2013).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
RondinRMP2014,YES,1,YES,"L. Rondin \emph{et~al.}, Rep.\ Prog.\ Phys.\ \textbf{77}, 056503 (2014).",KEEP,Cited in manuscript; retained.
WrachtrupJelezko2006,NO,0,NO,"F. Wrachtrup and F. Jelezko, J.\ Phys.: Condens.\ Matter \textbf{18}, S807 (2006). % Shallow NV / su",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
StaudacherScience2013,NO,0,NO,"T. Staudacher \emph{et~al.}, Science \textbf{339}, 561 (2013).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
MaminScience2013,NO,0,NO,"H.J. Mamin \emph{et~al.}, Science \textbf{339}, 557 (2013).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
MazeNature2008,YES,1,YES,"J.R. Maze \emph{et~al.}, Nature \textbf{455}, 644 (2008).",KEEP,Cited in manuscript; retained.
