shield_id,shield_name,shield_type,protected_mode,protected_region,source_region,primary_risk_reduced,thermal_anchor_stage,validation_method,validation_status,can_PASS_now,dependent_gates,notes
SHIELD-001,4K OFHC copper radiation shutter,thermal-radiation,Mode D,10 mK sample stage and NV sensing volume,4 K shield interior and warm beamline,Direct thermal-radiation load from 4 K and warmer onto the 10 mK stage during Mode D,4 K stage,Radiometric heat-load measurement at sample stage with shutter closed vs open,DESIGN_SPECIFIED,NO,"C4, Shield-RAD","Existing canonical element. Shutter must close cleanly with no leakage path; load must be measured below Mode D budget."
SHIELD-002,radiation shield + labyrinth baffles,thermal-radiation,Mode D,10 mK stage,4 K shell and warm-line entry points,Line-of-sight blackbody radiation from warmer stages,4 K and 1 K stages,Sample-stage heat-leak budget; baffle-temperature measurement,DESIGN_SPECIFIED,NO,"C4, Shield-RAD","Existing canonical element. Labyrinth path geometry reduces direct line-of-sight; effectiveness depends on emissivity and contamination."
SHIELD-003,three-shutter stack,thermal-radiation/contamination,Mode D,sample/sensing volume,Mode B growth zone and warm optical paths,Optical-path and process-region radiation/contamination ingress into Mode D,4 K + 1 K + 100 mK stages,Coordinated open/close cycle test with heat-load and contamination instrumentation,DESIGN_SPECIFIED,NO,"C4, Shield-RAD, Shield-OPT, Shield-CHEM","Existing canonical element. Stack effectiveness only meaningful when all three shutters are characterized and interlocked."
SHIELD-004,RF-tight 10 mK sample can (Faraday enclosure),RF/microwave/blackbody,Mode D,10 mK sample stage and NV volume,room-temperature wiring and 4 K coax,"RF pickup, microwave leakage, blackbody leakage through wiring, parasitic pW/nW heating, false NV dephasing sources",mixing chamber / sample stage,Sample-stage heat-load with can closed vs open; RF noise floor at NV measurement frequencies; NV ODMR/Ramsey baseline inside vs outside can,CONDITIONAL,NO,"Shield-RF, Shield-RAD, Shield-MAG","Filters must terminate into or inside the enclosure. Thermal anchor to mixing chamber required. NOT_INSTALLED."
SHIELD-005,staged IR/high-frequency coax and microwave filtering,RF/IR/blackbody,Mode D,sample-stage RF interface,room-temperature signal generators and 4 K stage,High-frequency photon leakage and blackbody/RF heat load entering Mode D via signal lines,each stage: 300 K / 50 K / 4 K / 1 K / 100 mK / 10 mK,Per-stage thermometry on filter bodies; sample-stage heat load; broadband transmission measurement,CONDITIONAL,NO,"Shield-RF, Shield-RAD","Stages must include IR/high-frequency filters, not only microwave attenuators. Thermal anchoring at every stage required. NOT_INSTALLED."
SHIELD-006,nested cold optical apertures,thermal-radiation/optical-scatter,Mode D,sample/sensing volume,room-temperature optical access and warm windows,"Direct room-T line of sight, thermal radiation, NV-readout scatter, fs-laser scatter memory, IR leakage",50 K / 4 K + 1 K / 100 mK,Optical-power measurement at each stage; line-of-sight audit; sample-stage heat-load measurement,CONDITIONAL,NO,"Shield-OPT, Shield-RAD","Aperture chain: room-T access -> 50 K/4 K -> 1 K/100 mK -> cold beam dump -> sample. NOT_INSTALLED."
SHIELD-007,thermally anchored cold beam dumps,optical-scatter/thermal,Mode D,sample-stage heat budget,stray optical power from NV readout and fs-laser scatter,Stray optical power absorbed before it reaches the mK region,4 K or 1 K (preferred); 100 mK only if heat budget allows,Beam-dump absorbed-power measurement at each stage; sample-stage cumulative heating,CONDITIONAL,NO,"Shield-OPT, Shield-RAD","Place at higher-capacity stages; large absorptive loads must not be on the 10 mK stage unless budget proves it. NOT_INSTALLED."
SHIELD-008,dirty/clean dual shutter stack,contamination/optical,Mode D,Mode D sensing region,Mode B process / precursor zone,"Mode B chemical memory, hydrocarbon migration, residual precursor on the sensing side of the shutter stack",4 K stage,Witness-coupon and RGA before/after Mode B exposure; QCM mass tracking,CONDITIONAL,NO,"Shield-CHEM, Shield-OPT","Two-zone concept: dirty process shutter -> sacrificial cryopanel/cold trap -> clean sensing shutter. NOT_INSTALLED."
SHIELD-009,sacrificial cryopanels / regenerable cold traps,contamination,Mode D,Mode D sensing region and 10 mK volume,Mode B process exposure,"Residual precursor, hydrocarbons, water, methane fragments, generic process fragments",1 K - 4 K (panel-dependent),RGA species-resolved residual measurement; QCM mass tracking; witness-coupon analysis; saturation/regeneration cycle test,CONDITIONAL,NO,"Shield-CHEM, C_to_D_Readiness","Saturation and regeneration are explicit risks. NOT_INSTALLED."
SHIELD-010,cryogenic magnetic shielding,magnetic-noise,Mode D,NV sensing region,external low-frequency magnetic environment and lab background,External magnetic noise that degrades NV ODMR/Ramsey/T2*,outer at 300 K; cryogenic shield at 4 K; near-sample shield at mK if used,Magnetometer field-map with shield in/out; NV ODMR/Ramsey baseline comparison; NV bias-field stability check,CONDITIONAL,NO,"Shield-MAG","Layered: outer high-permeability -> cryogenic high-permeability -> optional near-sample. Must preserve calibrated NV bias-field geometry. NOT_INSTALLED."
SHIELD-011,optional superconducting shield,magnetic-flux/optional,Mode D,NV sensing region,external time-varying magnetic environment,"Time-varying field at low frequency; trade-off against trapped flux, cooldown-history dependence, field distortion, bias-coil incompatibility, eddy-current heating",4 K or lower,Controlled-field cooldown; field map before/after; NV ODMR baseline before/after; trapped-flux assessment,OPTIONAL_CONDITIONAL,NO,"Shield-MAG","Optional only. Multiple specific tests required before adoption. NOT_INSTALLED."
SHIELD-012,microwave blackbody leakage control,RF/microwave/thermal,Mode D,10 mK sample stage and NV sensing volume,room-temperature and 4 K microwave electronics,Room-temperature and 4 K microwave / blackbody radiation into the sensing volume,depends on per-line filter chain,Sample-stage heat-load measurement; NV dephasing budget vs filter chain; measured filter-body temperatures,BLOCKED,NO,"Shield-RF, Shield-RAD","Depends on SHIELD-004 + SHIELD-005 + attenuator chain and thermal anchoring. Blocked until installation and measurement."
